"string","stringtranslated"
"Order history","Order historie"
"magento_customer_id","Magento Klant ID"
"External order id","Extern ordernummer"
"Shipping method:","Verzendwijze:"
"%1 Item(s)","%1 Order(s)"
"%1 Item","%1 Order"
"Items %1 to %2 of %3 total","Order %1 tot %2 van %3 totaal"
"Previous","Vorige"
"Page","Pagina"
"Next","Volgende"
"per page","per pagina"
"Show","Toon"
"Search","Zoeken"
"Search orders","Zoek orders"
"Date From","Orderdatum vanaf"
"Date To","Orderdatum tot"
"Reset","Herstellen"
"Date","Orderdatum"
"Order Total","Order Totaal"
"View Order","Bekijk Order"
"Reorder","Opnieuw bestellen"
"Items","Producten"
"Invoices","Facturen"
"Order Shipments","Leveringen"
"Product Name","Product naam"
"Price","Prijs"
"Qty","Aantal"
"Subtotal","Subtotaal"
"No shipments available for this order.","Geen leveringen aanwezig voor deze order."
"No invoices available for this order.","Geen facturen aanwezig voor deze order."
"Grand Total (Excl.Tax)","Totaal (Excl.Btw)"
"Grand Total (Incl.Tax)","Totaal (Incl.Btw)"
"Tax","Btw"
"Qty Invoiced","Aantal"
"Print Invoice","Print factuur"
"Invoice #%1","Factuur #%1"
"Qty Shipped","Aantal"
"Track this shipment","Track deze levering"
"Order Information","Order informatie"
"Shipping Address","Bezorgadres"
"Shipping Method","Leverwijze"
"Billing Address","Factuuradres"
"Payment Method","Betaalmethode"
"Shipping & Handling","Verzend- & administratiekosten"